split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,n,tau,tau_used,c_index,brier
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,naive_km,1,1977,24.0,24.0,0.585045197751953,0.1755244969950235
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,dynasurv,2,840,18.0,18.0,0.6970953667439329,0.1395566855584398
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,oracle,2,840,18.0,18.0,0.7339964123873571,0.122235509794796
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,naive_km,2,840,18.0,18.0,0.6182311036337451,0.1603406410183827
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,dynasurv,3,438,12.0,12.0,0.6594362531144246,0.1565122748218282
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,oracle,3,438,12.0,12.0,0.7257673101568185,0.1379993574106743
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,naive_km,3,438,12.0,12.0,0.5974655779676927,0.1722532878514477
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,dynasurv,4,198,12.0,12.0,0.6829209790815848,0.1240217407430069
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,oracle,4,198,12.0,12.0,0.7230013372627343,0.1080374181727222
legacy_reused_holdout,1,bestCI,2,2,1.0,gamma,naive_km,4,198,12.0,12.0,0.5217528085475743,0.1612786319041912
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,dynasurv,1,1977,24.0,24.0,0.6647537909658714,0.1931478209411211
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,oracle,1,1977,24.0,24.0,0.7285876060239196,0.1354326191252405
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,naive_km,1,1977,24.0,24.0,0.554818616439084,0.1719308339842363
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,dynasurv,2,840,18.0,18.0,0.6584232528546403,0.1832544095786815
