split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm,kind,n,rmse_S,rmst_mae,rmst_bias
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,ET+ANTI-CDK wo CT,counterfactual,512,0.1835717526140017,2.2788678427686606,0.5994168365143342
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,MONOCT std alone,counterfactual,562,0.1374019609929452,1.729003412317553,0.2864377350517098
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,2,POLYCT alone,counterfactual,737,0.1509046219044019,1.8604545175193024,0.0561134077035785
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,ET alone,factual,19,0.217436320711899,1.955843079811245,0.6422477014932643
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,ET+ANTI-CDK wo CT,factual,42,0.1694773243711094,1.3556409923127173,0.5793357481357942
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,MONOCT std alone,factual,275,0.1346771542178676,1.0953307160731784,0.1626989431062517
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,POLYCT alone,factual,102,0.1487977063176897,1.1661728226110284,0.1622426161831812
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,ET alone,counterfactual,419,0.1655270228430427,1.4769326312845736,-0.489291795336452
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,ET+ANTI-CDK wo CT,counterfactual,396,0.1644410543884493,1.299649597924659,0.3870520480306592
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,MONOCT std alone,counterfactual,163,0.1400402030886594,1.1593191617011518,0.3202282056354435
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,3,POLYCT alone,counterfactual,336,0.1576639941629387,1.2723608466198812,0.1455464101467558
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,4,MONOCT std alone,factual,120,0.1612834137921529,1.324469890263333,0.0094586600100916
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,4,POLYCT alone,factual,71,0.1637997911360362,1.421394839372334,-0.1054961796943016
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,4,MONOCT std alone,counterfactual,78,0.1471031574475609,1.276879474394682,0.3892349023591565
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,4,POLYCT alone,counterfactual,127,0.1828986517123522,1.5979063349594744,-0.2784791808454589
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,ET alone,factual,487,0.1553109775897716,2.084136837031812,0.4643540813549398
