split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm_a,arm_b,n,pehe,ate_true,ate_bias,sign_agree
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,ET+ANTI-CDK wo CT,POLYCT alone,3255,1.5514111435669746,0.3220967318006836,-0.0320039529771721,0.6473118279569893
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,MONOCT std alone,POLYCT alone,3453,1.4729293050794736,-0.072839044430046,0.2756052117396577,0.4790037648421662
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,ET alone,ET+ANTI-CDK wo CT,1977,1.1039105992504217,-0.4921216692647041,-0.7926852975169121,0.9914011127971676
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,ET alone,MONOCT std alone,1977,1.0810850995089851,-0.0574449803944312,0.3147700932141029,0.7597369752149722
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,ET alone,POLYCT alone,1977,1.6879612117823437,-0.0732824708837307,-0.2238519881349765,0.669195751138088
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,ET+ANTI-CDK wo CT,MONOCT std alone,1977,1.6861377969047775,0.4346766888702729,1.1074555695449493,0.8093070308548306
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,ET+ANTI-CDK wo CT,POLYCT alone,1977,1.6935494381496137,0.4188391983809734,0.5688334285912251,0.7197774405665149
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,MONOCT std alone,POLYCT alone,1977,1.7149860717784158,-0.0158374904892994,-0.5386220217444346,0.6378351036924633
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,ET alone,ET+ANTI-CDK wo CT,840,1.024946548681012,-0.3008556043247126,-0.5785814250370123,0.6166666666666667
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,ET alone,MONOCT std alone,840,0.942526763029508,0.0170592743046201,0.29523303331066,0.725
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,ET alone,POLYCT alone,840,1.4441811797361914,-0.1805348664435792,0.5496830612334657,0.6476190476190476
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,ET+ANTI-CDK wo CT,MONOCT std alone,840,1.3265637020602603,0.3179148786293326,0.8738145477546395,0.7345238095238096
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,ET+ANTI-CDK wo CT,POLYCT alone,840,1.8363222379365045,0.1203207378811333,1.1282646054797676,0.6083333333333333
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,2,MONOCT std alone,POLYCT alone,840,1.33434498177272,-0.1975941407481994,0.2544500390986766,0.6976190476190476
