split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,policy,line,n,value,regret,hit_rate,abstain_rate
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,best_constant,1,1977,20.81678874131098,0.4559331344347486,0.6575619625695498,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,best_constant,2,840,13.927279495825704,0.7202994569381319,0.3976190476190476,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,best_constant,3,438,9.686639903636442,0.3562828084232762,0.4315068493150685,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,best_constant,4,198,9.016078838982914,0.3402728118089442,0.4696969696969697,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,best_constant,all,3453,17.052313352440425,0.5009722668500131,0.5548798146539241,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,line_only,1,1977,20.88591032076908,0.3868115549766514,0.6454223571067274,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,line_only,2,840,14.0105395156602,0.6370394371036365,0.3678571428571429,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,line_only,3,438,9.69978456820362,0.3431381438560974,0.3881278538812785,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,line_only,4,198,9.061249633748098,0.2951020170437606,0.5959595959595959,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,line_only,all,3453,17.11640051134386,0.4368851079465768,0.5424268751810021,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,supported,1,1977,20.88663265505583,0.386089220689899,0.6454223571067274,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,supported,2,840,14.012308471580551,0.6352704811832836,0.369047619047619,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,supported,3,438,9.688330245569931,0.3545924664897863,0.3835616438356164,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,supported,4,198,8.997475381200303,0.3588762695915561,0.494949494949495,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,supported,all,3453,17.112134563628825,0.4411510556616111,0.5363452070663192,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,oracle,line_only,1,1977,21.27272187574573,0.0,1.0,0.0
